dataset,seed,method,model_type,val_auroc,test_auroc,duration_s,best_config
breast_cancer,42,bo,mlp,0.9997,0.9838,694.9,"{""learning_rate"": 0.0993513810194259, ""batch_size"": 128, ""hidden_dim"": 203, ""dropout"": 0.303166686597942, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 4.8113048885254445e-05, ""activation"": ""tanh""}"
breast_cancer,42,bo,rf,0.9885,0.9924,549.4,"{""n_estimators"": 55, ""max_depth"": 30, ""min_samples_split"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 4, ""criterion"": ""entropy"", ""max_samples"": 0.6792112781527891}"
breast_cancer,42,acrs,mlp,0.9993,0.9937,29.2,"{""learning_rate"": 0.012468786659075646, ""batch_size"": 64, ""hidden_dim"": 131, ""dropout"": 0.42929895995569123, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""tanh""}"
breast_cancer,42,acrs,rf,0.9905,0.9914,16.1,"{""n_estimators"": 90, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""log2"", ""min_samples_leaf"": 3, ""criterion"": ""entropy"", ""max_samples"": 0.8486840145296819}"
breast_cancer,123,bo,mlp,0.9997,0.9648,684.9,"{""learning_rate"": 0.00738048953829645, ""batch_size"": 32, ""hidden_dim"": 169, ""dropout"": 0.3329621420821513, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 6.014858427098001e-06, ""activation"": ""relu""}"
breast_cancer,123,bo,rf,0.9912,0.998,564.5,"{""n_estimators"": 114, ""max_depth"": 17, ""min_samples_split"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""criterion"": ""gini"", ""max_samples"": 0.9217244526277274}"
breast_cancer,123,acrs,mlp,0.9993,0.9927,26.6,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 199, ""dropout"": 0.11017993638630569, ""num_layers"": 3, ""optimizer_name"": ""adam"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""tanh""}"
breast_cancer,123,acrs,rf,0.9915,0.9969,10.9,"{""n_estimators"": 56, ""max_depth"": 22, ""min_samples_split"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""criterion"": ""gini"", ""max_samples"": 0.5029450166587348}"
breast_cancer,456,bo,mlp,1.0,0.9977,668.0,"{""learning_rate"": 0.0421295353038849, ""batch_size"": 64, ""hidden_dim"": 77, ""dropout"": 0.36043519868863716, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 4.700475869741468e-06, ""activation"": ""tanh""}"
breast_cancer,456,bo,rf,0.9931,0.9846,541.5,"{""n_estimators"": 272, ""max_depth"": 20, ""min_samples_split"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.9533058603859923}"
breast_cancer,456,acrs,mlp,0.9993,0.9957,31.3,"{""learning_rate"": 0.016966470206037868, ""batch_size"": 32, ""hidden_dim"": 132, ""dropout"": 0.06202840304982771, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.0077974719130582655, ""activation"": ""relu""}"
breast_cancer,456,acrs,rf,0.9931,0.9772,37.4,"{""n_estimators"": 398, ""max_depth"": 17, ""min_samples_split"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.8774249907380549}"
diabetes,42,bo,mlp,0.8831,0.8019,676.2,"{""learning_rate"": 0.04097808877505784, ""batch_size"": 64, ""hidden_dim"": 53, ""dropout"": 0.3635297003847496, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3257061012708684e-05, ""activation"": ""relu""}"
diabetes,42,bo,rf,0.8759,0.8209,541.2,"{""n_estimators"": 230, ""max_depth"": 7, ""min_samples_split"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""max_samples"": 0.8154488994596493}"
diabetes,42,acrs,mlp,0.8848,0.833,55.0,"{""learning_rate"": 0.012468786659075646, ""batch_size"": 16, ""hidden_dim"": 213, ""dropout"": 0.42929895995569123, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 1.4940840554230085e-05, ""activation"": ""relu""}"
diabetes,42,acrs,rf,0.8724,0.8202,42.8,"{""n_estimators"": 402, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""entropy"", ""max_samples"": 0.8486840145296819}"
diabetes,123,bo,mlp,0.8648,0.8578,677.7,"{""learning_rate"": 0.04796036071404841, ""batch_size"": 64, ""hidden_dim"": 76, ""dropout"": 0.1613051635396292, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 0.004695440844920792, ""activation"": ""relu""}"
diabetes,123,bo,rf,0.857,0.8528,529.3,"{""n_estimators"": 76, ""max_depth"": 16, ""min_samples_split"": 19, ""max_features"": ""log2"", ""min_samples_leaf"": 8, ""criterion"": ""entropy"", ""max_samples"": 0.7360914967123859}"
diabetes,123,acrs,mlp,0.853,0.8789,43.8,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 44, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""relu""}"
diabetes,123,acrs,rf,0.8506,0.8502,20.2,"{""n_estimators"": 160, ""max_depth"": 22, ""min_samples_split"": 11, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""criterion"": ""gini"", ""max_samples"": 0.9637036292625836}"
diabetes,456,bo,mlp,0.8711,0.8357,685.0,"{""learning_rate"": 0.0460876979085771, ""batch_size"": 64, ""hidden_dim"": 192, ""dropout"": 0.23940451877177543, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.00022257701831129056, ""activation"": ""relu""}"
diabetes,456,bo,rf,0.8606,0.8365,545.8,"{""n_estimators"": 376, ""max_depth"": 22, ""min_samples_split"": 5, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""criterion"": ""gini"", ""max_samples"": 0.7713615285156719}"
diabetes,456,acrs,mlp,0.8683,0.8237,43.9,"{""learning_rate"": 0.016966470206037868, ""batch_size"": 32, ""hidden_dim"": 132, ""dropout"": 0.06202840304982771, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.0077974719130582655, ""activation"": ""tanh""}"
diabetes,456,acrs,rf,0.8604,0.8422,25.4,"{""n_estimators"": 209, ""max_depth"": 27, ""min_samples_split"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.6821866540901571}"
bank_marketing,42,bo,mlp,0.9263,0.8866,1006.1,"{""learning_rate"": 0.09878521576463747, ""batch_size"": 128, ""hidden_dim"": 140, ""dropout"": 0.3103504097883667, ""num_layers"": 3, ""optimizer_name"": ""sgd"", ""weight_decay"": 2.2364331630796283e-06, ""activation"": ""relu""}"
bank_marketing,42,bo,rf,0.9273,0.9151,561.6,"{""n_estimators"": 477, ""max_depth"": 18, ""min_samples_split"": 20, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""criterion"": ""gini"", ""max_samples"": 0.8064514831975773}"
bank_marketing,42,acrs,mlp,0.9219,0.9077,128.6,"{""learning_rate"": 0.003458384531216487, ""batch_size"": 128, ""hidden_dim"": 83, ""dropout"": 0.3498535669053748, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 6.849566747840923e-05, ""activation"": ""tanh""}"
bank_marketing,42,acrs,rf,0.9254,0.9174,58.0,"{""n_estimators"": 467, ""max_depth"": 23, ""min_samples_split"": 14, ""max_features"": ""log2"", ""min_samples_leaf"": 3, ""criterion"": ""gini"", ""max_samples"": 0.8486840145296819}"
bank_marketing,123,bo,mlp,0.9138,0.9103,1020.2,"{""learning_rate"": 0.004618172915261199, ""batch_size"": 32, ""hidden_dim"": 99, ""dropout"": 0.2900841512472882, ""num_layers"": 2, ""optimizer_name"": ""sgd"", ""weight_decay"": 8.636004985277715e-05, ""activation"": ""relu""}"
bank_marketing,123,bo,rf,0.9349,0.9205,552.6,"{""n_estimators"": 360, ""max_depth"": 24, ""min_samples_split"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.5822558568288949}"
bank_marketing,123,acrs,mlp,0.9111,0.9067,130.1,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 44, ""dropout"": 0.15943728936719154, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""relu""}"
bank_marketing,123,acrs,rf,0.9354,0.9227,53.2,"{""n_estimators"": 421, ""max_depth"": 24, ""min_samples_split"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""criterion"": ""entropy"", ""max_samples"": 0.6287812524547619}"
bank_marketing,456,bo,mlp,0.936,0.9237,1046.2,"{""learning_rate"": 8.090876858617455e-05, ""batch_size"": 16, ""hidden_dim"": 244, ""dropout"": 0.2659560679096792, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 3.6852607971622725e-05, ""activation"": ""relu""}"
bank_marketing,456,bo,rf,0.9419,0.9339,561.3,"{""n_estimators"": 336, ""max_depth"": 30, ""min_samples_split"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.7381952965787528}"
bank_marketing,456,acrs,mlp,0.9378,0.919,172.3,"{""learning_rate"": 0.000756298044469306, ""batch_size"": 64, ""hidden_dim"": 74, ""dropout"": 0.06202840304982771, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0077974719130582655, ""activation"": ""relu""}"
bank_marketing,456,acrs,rf,0.9429,0.9307,30.2,"{""n_estimators"": 209, ""max_depth"": 29, ""min_samples_split"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.8774249907380549}"
